"levels"	"use_as"	"name"	"signature"
"1"	"level1"	"positive"	"Immune"	"PTPRC"
"2"	"level1"	"positive"	"Lymphoid"	"LCK"
"3"	"level1"	"positive"	"Tcell"	"CD3D;CD3E;CD3G;CD2"
"4"	"level1"	"negative"	"Epithelial"	"CDH1;FLT1"
"5"	"level1"	"negative"	"Stromal"	"MMP2;COL1A1;COL1A2;COL5A1;LUM;PDGFRA"
"6"	"level1"	"negative"	"Erythrocyte"	"HBB;HBA2;HBA1"
"7"	"level2"	"positive"	"Lymphoid"	"LCK"
"8"	"level2"	"positive"	"Tcell"	"CD3D;CD3E;CD3G;CD2"
"9"	"level2"	"negative"	"Myeloid"	"SPI1"
"10"	"level2"	"negative"	"MoMacDC"	"LYZ;CSF1R;MSR1;MAFB;CD300E"
"11"	"level2"	"negative"	"Neutrophils"	"CSF3R;FCGR3B"
"12"	"level2"	"negative"	"Erythrocyte"	"HBB;HBA2;HBA1"
"13"	"level3"	"positive"	"Tcell"	"CD3D;CD3E;CD3G;CD2"
"14"	"level3"	"positive"	"Talphabeta"	"TRAC;TRBC1;TRBC2"
"15"	"level3"	"negative"	"Bcell"	"MS4A1;BANK1;PAX5;CD19"
"16"	"level3"	"negative"	"NK"	"KLRD1;NKG7;NCR1;FCGR3A;CD3D-;CD3E-;CD3G-;CD8A-;CD8B-"
"17"	"level3"	"negative"	"Plasma_cell"	"IGKC;IGHG3;IGHG1;IGHA1;CD19-"
"18"	"level4"	"positive"	"CD8T"	"CD8A;CD8B"
"19"	"level4"	"negative"	"Tgammadelta"	"TRDC;TRGC1;TRGC2;TRDV1"
"20"	"level4"	"negative"	"CD4T"	"CD4;CD40LG"
"21"	"level4"	"negative"	"Treg"	"FOXP3"
"22"	"level4"	"negative"	"CD8_INN"	"FCER1G;IKZF2;TYROBP"
"23"	"level4"	"negative"	"CD8_INN2"	"KIR2DL3;KLRC3;KIR3DL2;KLRC2"
