<<<<<<< HEAD
name	signature
1	Exhausted	TOX;PDCD1;LAG3;TIGIT
2	Cytotoxic	GZMB;GZMA;GZMK
3	CD8_N	LEF1;CCR7;TCF7;SELL
4	CD8_TEX	HAVCR2;LAYN;CXCL13;GZMB
5	CD8_TPEX	XCL1;CD200;TCF7;CRTAM
6	CD8_TEMRA	FCGR3A;CX3CR1;FGFBP2
7	CD8_INN	FCER1G;IKZF2;TYROBP
8	CD8_INN2	KIR2DL3;KLRC3;KIR3DL2;KLRC2
9	CD8_EM	GZMK;CXCR3
10	CD8_GD	TRDC;TRGC1;TRGC2;TRDV1
11	CD8_TRM	ZNF683;ITGAE;CXCR6
12	CD8_MAIT	TRAV1-2;SLC4A10;KLRB1
=======
"V1"	"V2"
"1"	"name"	"signature"
"2"	"Exhausted"	"TOX;PDCD1;LAG3;TIGIT"
"3"	"Cytotoxic"	"GZMB;GZMA;GZMK"
"4"	"CD8_N"	"LEF1;CCR7;TCF7;SELL"
"5"	"CD8_TEX"	"HAVCR2;LAYN;CXCL13;GZMB"
"6"	"CD8_TPEX"	"XCL1;CD200;TCF7;CRTAM"
"7"	"CD8_TEMRA"	"FCGR3A;CX3CR1;FGFBP2"
"8"	"CD8_INN"	"FCER1G;IKZF2;TYROBP"
"9"	"CD8_INN2"	"KIR2DL3;KLRC3;KIR3DL2;KLRC2"
"10"	"CD8_EM"	"GZMK;CXCR3"
"11"	"CD8_GD"	"TRDC;TRGC1;TRGC2;TRDV1"
"12"	"CD8_TRM"	"ZNF683;ITGAE;CXCR6"
"13"	"CD8_MAIT"	"TRAV1-2;SLC4A10;KLRB1"
>>>>>>> 60a248607ebc39984d40465c85c9fc8f53beda0e
