levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Blood_Monocyte	
level1	positive	pDC	
level1	positive	APC	
level1	negative	Epithelial	
level1	negative	Stromal	
level2	positive	Blood_Monocyte	
level2	positive	pDC	
level2	negative	Lymphoid	
level2	negative	Tcell	
level2	negative	CD4T	
level2	negative	CD8T	
level2	negative	Bcell	
level2	negative	Plasma_cell	
level2	negative	PanBcell	
level2	negative	Mast	
level3	positive	Blood_Monocyte	
level3	negative	Platelet	
level3	negative	Neutrophils	
level3	negative	pDC	
level3	negative	cDC1	
level3	negative	cDC2	
level3	negative	cDC2b	
level3	negative	DC3	
