levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	positive	Tcell	
level1	negative	Epithelial	
level1	negative	Stromal	
level2	positive	Tgd1	
level2	positive	Tgd2	
level2	positive	Tgd12	
level2	positive	Tgd22	
level2	negative	Myeloid	
level2	negative	MoMacDC	
level2	negative	Neutrophils	
level2	negative	CD4T	
level2	negative	CD8T	
level2	negative	Bcell	
level2	negative	NK	
level2	negative	Plasma_cell	
level2	positive	Tgd1	
level2	positive	Tgd2	
level2	positive	Tgd12	
level2	positive	Tgd22	
