name	signature
Endothelial	RAMP2;TM4SF1;VWF;GNG11;EPAS1;SPARCL1;AGER-;CLDN18-;COL1A1-;LUM-
Stromal	COL1A1;COL1A2;COL3A1;DCN;LUM;ACTA2;THY1;KRT18-;KRT19-;KRT8-
Epithelial	SFTPB;SLPI;WFDC2;PIGR;SLC34A2;SFTA2;AGR3;ELF3;KRT18;KRT19;KRT8
Immune	PTPRC;LAPTM5;SRGN;CXCR4;CD52;COL1A1-;RAMP2-
Lymphoid	LCK
Myeloid	SPI1;CD79A-;CD19-
Blood_Monocyte	SERPINA1;SPI1;CFD;CD3E-;PTPRCAP-;LCK-
HSPC	CD34;SMIM24;PRSS57
APC	HLA-DRA;HLA-DMB;HLA-DMA;HLA-DQA1;HLA-DQB1;HLA-DRB1;HLA-DPA1;HLA-DPB1
Tcell	CD3D;CD3E;CD3G;CD2
Macrophage	APOE;APOC1;C1QA;C1QB;C1QC;CD68;FCER1G
TAM	APOE;APOC1;TREM2;SPP1
MoMacDC	LYZ;CSF1R;MSR1;MAFB;CD300E;ITGAX;CD68
Bcell	MS4A1;BANK1;PAX5;CD19
Bcell.GerminalCenter	RGS13;MEF2B;CCR7-
Plasma_cell	MZB1;DERL3;CD19-
PanBcell	CD79A
NK	KLRD1;NKG7;NCR1;CD3D-;CD3E-;CD3G-;CD8A-;CD8B-
Neutrophils	CSF3R;FCGR3B;ANXA2-
CD4T	CD4;CD40LG
Treg	FOXP3
CD8T	CD8A;CD8B
Tgammadelta	TRDC;TRGC1;TRGC2;TRDV1;TRDV2;TRDV3;TRDV5;TRGV9
Tgd1	TRDC;TRDV1;TRGC1
Tgd2	TRDC;TRDV2;TRGC1
Tgd12	TRDC;TRDV1;TRGC2
Tgd22	TRDC;TRDV2;TRGC2
Talphabeta	TRAC;TRBC1;TRBC2
Erythrocyte	HBB;HBA2;HBA1
Megakaryocyte	ITGA2B;PF4;PPBP
Platelet	ITGA2B;PF4;PPBP
pDC	LILRA4;TCF4;GZMB
cDC1	CLEC9A;XCR1;BATF3;CADM1;IDO1;RAB7B;FLT3;IRF8
cDC2	CD1C;CLEC10A;FCER1A
cDC2b	CD1C;CD1A;CD207;S100B
DC3	LAMP3;FSCN1;CCL19;CCL22;CD274;CCR7;BIRC3
Monocyte	S100A9;S100A8;FCN1;VCAN;C1QA-;C1QB-
Monocyte_not_cDC2	S100A9;S100A8;FCN1;VCAN;CLEC10A-;CD1A-;CD1C-;S100B-
Mast	KIT;CPA3;GATA2;TPSAB1;TPSB2;MS4A2
Fibroblast	COL1A1;COL1A2;COL3A1;DCN;LUM;ACTA2;THY1;KRT18-;KRT19-;KRT8-
Alveolar_type1	AGER;CAV1;CAV2;EMP2;CLDN18;GPRC5A;HOPX
Alveolar_type2	SFTPC;SFTPA1;SFTPA2;SFTPB;NAPSA;SLC34A2
