name	signature
Endothelial	RAMP2;TM4SF1;VWF;GNG11;EPAS1;SPARCL1;AGER-;CLDN18-;COL1A1-;LUM-
Epithelial	SFTPB;SLPI;WFDC2;PIGR;SLC34A2;SFTA2;AGR3;ELF3
Immune	PTPRC;LAPTM5;SRGN;CXCR4;CD52;COL1A1-;RAMP2-
Plasma_cell	MZB1;DERL3;SSR4;CD19-
PanBcell	CD79A
Erythrocyte	HBB;HBA2;HBA1
Fibroblast	COL1A1;COL1A2;COL3A1;DCN;LUM;ACTA2;THY1;KRT18-;KRT19-;KRT8-
Alveolar_type1	AGER;CAV1;CAV2;EMP2;CLDN18;GPRC5A;HOPX
Alveolar_type2	SFTPC;SFTPA1;SFTPA2;SFTPB;NAPSA;SLC34A2
Keratinocyte	KRT1;KRT5;KRT10;KRT14;GATA3
Melanocyte	PMEL;MELA;LYZ-
