levels	use_as	name	signature
level1	positive	Immune	PTPRC
level1	positive	Lymphoid	LCK
level1	positive	Tcell	CD3D;CD3E;CD3G;CD2
level1	negative	Epithelial	CDH1;FLT1
level1	negative	Stromal	MMP2;COL1A1;COL1A2;COL5A1;LUM;PDGFRA
level1	negative	Erythrocyte	HBB;HBA2;HBA1
level2	positive	Lymphoid	LCK
level2	positive	Tcell	CD3D;CD3E;CD3G;CD2
level2	negative	Myeloid	SPI1
level2	negative	MoMacDC	LYZ;CSF1R;MSR1;MAFB;CD300E
level2	negative	Neutrophils	CSF3R;FCGR3B
level2	negative	Erythrocyte	HBB;HBA2;HBA1
level3	positive	Tcell	CD3D;CD3E;CD3G;CD2
level3	positive	Talphabeta	TRAC;TRBC1;TRBC2
level3	negative	Bcell	MS4A1;BANK1;PAX5;CD19
level3	negative	NK	KLRD1;NKG7;NCR1;FCGR3A;CD3D-;CD3E-;CD3G-;CD8A-;CD8B-
level3	negative	Plasma_cell	IGKC;IGHG3;IGHG1;IGHA1;CD19-
level4	positive	CD8T	CD8A;CD8B
level4	negative	Tgammadelta	TRDC;TRGC1;TRGC2;TRDV1
level4	negative	CD4T	CD4;CD40LG
level4	negative	Treg	FOXP3
level4	negative	CD8_INN	FCER1G;IKZF2;TYROBP
level4	negative	CD8_INN2	KIR2DL3;KLRC3;KIR3DL2;KLRC2
