name	signature
APC	H2-Ea;H2-DMb2;H2-DMb1;H2-DMa;H2-Eb2
Alveolar_type1	Ager;Cav1;Cav2;Emp2;Cldn18;Gprc5a;Hopx
Alveolar_type2	Sftpc;Sftpa1;Sftpa1;Sftpb;Napsa;Slc34a2
Bcell	Ms4a1;Bank1;Pax5;Cd19
Bcell.GerminalCenter	Rgs13;Mef2b;Ccr7-
CD4T	Cd4;Cd40lg
CD8T	Cd8a;Cd8b1
DC3	Lamp3;Fscn1;Ccl19;Ccl22;Cd274;Ccr7;Birc3
Endothelial	Ramp2;Tm4sf1;Vwf;Gng11;Epas1;Sparcl1;Ager-;Cldn18-;Col1a1-;Lum-
Epithelial	Wfdc2;Elf3;Krt18;Krt19;Krt8;Krt15;Krt7
Erythrocyte	Hbb-bs;Hbb-bt;Hba-a2;Hba-a1;Hba-a2;Hba-a1
Fibroblast	Col5a1;Col6a2;Col6a1;Col1a2;Dcn;Lum;Krt18-;Krt19-;Krt8-;Krt15-;Krt7-
HSPC	Cd34;Smim24;Prss57
Immune	Ptprc;Laptm5;Srgn;Cxcr4;Cd52;Col1a1-;Ramp2-
Lymphoid	Lck
Innate_Tcell	Zbtb16
Macrophage	Apoe;Apoc1;C1qa;C1qb;C1qc;Cd68;Fcer1g
Mast	Kit;Cpa3;Gata2;Tpsb2;Tpsab1;Tpsb2;Tpsab1;Ms4a2
Megakaryocyte	Itga2b;Pf4;Ppbp
MoMacDC	Lyz3;Csf1r;Msr1;Mafb;Cd300e;Itgax;Cd68
Monocyte	S100a9;S100a8;Fcnb;Vcan;C1qa-;C1qb-
Monocyte_not_cDC2	S100a9;S100a8;Fcnb;Vcan;Clec10a-;Mgl2-;S100b-
Myeloid	Spi1;Cd79a-;Cd19-
NK	Klrd1;Nkg7;Ncr1;Fcgr4;Cd3d-;Cd3e-;Cd3g-;Cd8a-;Cd8b1-
Neutrophils	Csf3r;Cxcr2;Hdc
PanBcell	Cd79a
Plasma_cell	Mzb1;Derl3;Cd19-
Platelet	Itga2b;Pf4;Ppbp
Stromal	Col1a1;Col1a2;Col3a1;Dcn;Lum;Acta2;Thy1;Krt18-;Krt19-;Krt8-
TAM	Apoe;Apoc1;Trem2;Spp1
Talphabeta	Trac;Trbc2;Trbc1
Tcell	Cd3d;Cd3e;Cd3g;Cd2
Tgammadelta	Trdc;Trgc1;Trgc2;Trgc3;Trgc4
Tgd1	Trdc;Trgc1
Tgd12	Trdc;Trgc2
Tgd2	Trdc;Trgc3
Tgd22	Trdc;Trgc4
Treg	Foxp3
cDC1	Clec9a;Xcr1;Batf3;Cadm1;Ido1;Rab7b;Flt3;Irf8
cDC2	Clec10a;Mgl2;Fcer1a
cDC2b	Cd207;S100b
pDC	Irf7;Pira12;Lilra5;Pira2;Pirb;Pira13;Pira1;Lilra6;Lilrb4a;Lilrb4b;Tcf4;Gzmc;Gzmb
