name	signature
Endothelial	Ramp2;Tm4sf1;Vwf;Gng11;Epas1;Sparcl1;Ager-;Cldn18-;Col1a1-;Lum-
Stromal	Col1a1;Col1a2;Col3a1;Dcn;Lum;Acta2;Thy1;Krt18-;Krt19-;Krt8-
Epithelial	Sftpb;Slpi;Wfdc2;Pigr;Slc34a2;Agr3;Elf3;Krt18;Krt19;Krt8
Immune	Ptprc;Laptm5;Srgn;Cxcr4;Cd52;Col1a1-;Ramp2-
Lymphoid	Lck
Myeloid	Spi1;Cd79a-;Cd19-
APC	H2-Ea;H2-DMb2;H2-DMb1;H2-DMa;H2-Ab1;H2-Eb2
Tcell	Cd3d;Cd3e;Cd3g;Cd2
Macrophage	Apoe;Apoc1;C1qa;C1qb;C1qc;Fcer1g
TAM	Apoe;Apoc1;Trem2;Spp1
MoMacDC	9530003J23Rik;Csf1r;Msr1;Mafb;Cd300e;Itgax
Bcell	Ms4a1;Bank1;Pax5;Cd19
Bcell.GerminalCenter	Rgs13;Mef2b;Ccr7-
Plasma_cell	Mzb1;Derl3;Cd19-
PanBcell	Cd79a
NK	Klrd1;Nkg7;Ncr1;Fcgr4;Cd3d-;Cd3e-;Cd3g-;Cd8a-;Cd8b1-
Neutrophils	Csf3r;Fcgr4;-
CD4T	Cd4;Cd40lg
Treg	Foxp3
CD8T	Cd8a;Cd8b1
Tgammadelta	Trdc;Trav15d-1-dv6d-1;Trav15d-2-dv6d-2;Trav15n-1;Trav15n-2;Trav15-1-dv6-1;Trav15-2-dv6-2
Tgd1	Trdc;Trav15d-1-dv6d-1;Trav15d-2-dv6d-2;Trav15n-1;Trav15n-2;Trav15-1-dv6-1;Trav15-2-dv6-2
Tgd2	Trdc
Talphabeta	Trbc1;Trbc2;Trbc1;Trbc2
Erythrocyte	Hba-a1;Hba-a2;Hba-a1;Hba-a2
Megakaryocyte	Itga2b;Ppbp
pDC	Irf7;Pirb;Pira1;Pira13;Pira2;Pira12;Lilra6;Lilra5;Tcf4;Gzme;Gzmd;Gzmg;Gzmn;Gzmf;Gzmc;Gzmb
cDC1	Clec9a;Xcr1;Batf3;Cadm1;Ido1;Rab7b;Flt3;Irf8
cDC2	Mgl2;Clec10a;Fcer1a
cDC2b	Cd207;S100b
DC3	Fscn1;Ccl19;Ccl22;Cd274;Ccr7;Birc3
Monocyte	Gm5849;S100a8;Fcnb;Vcan;C1qa-;C1qb-
Monocyte_not_cDC2	Gm5849;S100a8;Fcnb;Vcan;Mgl2-;Clec10a-;-;-;S100b-
Mast	Kit;Cpa3;Gata2;Tpsab1;Tpsb2;Tpsab1;Tpsb2;Ms4a2
Fibroblast	Col1a1;Col1a2;Col3a1;Dcn;Lum;Acta2;Thy1;Krt18-;Krt19-;Krt8-
Alveolar_type1	Ager;Cav1;Cav2;Emp2;Cldn18;Gprc5a;Hopx
Alveolar_type2	Sftpc;Sftpa1;Sftpa1;Sftpb;Napsa;Slc34a2
Male	Rps4y2;Ddx3y
Female	Xist
