levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Myeloid	
level1	positive	Monocyte	
level1	positive	MoMacDC	
level1	positive	APC	
level1	negative	Epithelial	
level1	negative	Endothelial	
level1	negative	Stromal	
level2	positive	Macrophage	
level2	positive	MoMacDC	
level2	negative	Lymphoid	
level2	negative	Tcell	
level2	negative	Bcell	
level2	negative	Plasma_cell	
level2	negative	PanBcell	
level2	negative	Mast	
level3	positive	Monocyte	
level3	positive	MoMacDC	
level3	negative	pDC	
level3	negative	cDC1	
level3	negative	cDC2	
level3	negative	cDC2b	
level3	negative	DC3	
level3	negative	Neutrophils	
level4	positive	Monocyte	
