name	signature
Endothelial	Ramp2;Tm4sf1;Vwf;Gng11;Epas1;Sparcl1;Ager-;Cldn18-;Col1a1-;Lum-
Stromal	Col1a1;Col1a2;Col3a1;Dcn;Lum;Acta2;Thy1;Krt18-;Krt19-;Krt8-
Epithelial	Sftpb;Slpi;Wfdc2;Pigr;Slc34a2;Sfta2;Agr3;Elf3;Krt18;Krt19;Krt8
Immune	Ptprc;Laptm5;Srgn;Cxcr4;Cd52;Col1a1-;Ramp2-
Lymphoid	Lck
Myeloid	Spi1;Cd79a-;Cd19-
APC	Hla-Dra;Hla-Dmb;Hla-Dma;Hla-Dqa1;Hla-Dqb1;Hla-Drb1;Hla-Dpa1;Hla-Dpb1
Tcell	Cd3d;Cd3e;Cd3g;Cd2
Macrophage	Apoe;Apoc1;C1qa;C1qb;C1qc;Cd68;Fcer1g
TAM	Apoe;Apoc1;Trem2;Spp1
MoMacDC	Lyz;Csf1r;Msr1;Mafb;Cd300e;Itgax;Cd68
Bcell	Ms4a1;Bank1;Pax5;Cd19
Bcell.GerminalCenter	Rgs13;Mef2b;Ccr7-
Plasma_cell	Mzb1;Derl3;Cd19-
PanBcell	Cd79a
NK	Klrd1;Nkg7;Ncr1;Fcgr3a;Cd3d-;Cd3e-;Cd3g-;Cd8a-;Cd8b-
Neutrophils	Csf3r;Fcgr3b;Anxa2-
CD4T	Cd4;Cd40lg
Treg	Foxp3
CD8T	Cd8a;Cd8b
Tgammadelta	Trdc;Trgc1;Trgc2;Trdv1;Trdv2
Tgd1	Trdc;Trdv1
Tgd2	Trdc;Trdv2
Talphabeta	Trac;Trbc1;Trbc2
Erythrocyte	Hbb;Hba2;Hba1
Megakaryocyte	Itga2b;Pf4;Ppbp
pDC	Irf7;Lilra4;Tcf4;Gzmb
cDC1	Clec9a;Xcr1;Batf3;Cadm1;Ido1;Rab7b;Flt3;Irf8
cDC2	Cd1c;Clec10a;Fcer1a
cDC2b	Cd1c;Cd1a;Cd207;S100b
DC3	Lamp3;Fscn1;Ccl19;Ccl22;Cd274;Ccr7;Birc3
Monocyte	S100a9;S100a8;Fcn1;Vcan;C1qa-;C1qb-
Monocyte_not_cDC2	S100a9;S100a8;Fcn1;Vcan;Clec10a-;Cd1a-;Cd1c-;S100b-
Mast	Kit;Cpa3;Gata2;Tpsab1;Tpsb2;Ms4a2
Fibroblast	Col1a1;Col1a2;Col3a1;Dcn;Lum;Acta2;Thy1;Krt18-;Krt19-;Krt8-
Alveolar_type1	Ager;Cav1;Cav2;Emp2;Cldn18;Gprc5a;Hopx
Alveolar_type2	Sftpc;Sftpa1;Sftpa2;Sftpb;Napsa;Slc34a2
Male	Rps4y1;Ddx3y
Female	Xist
